prdctClsfcNo,prdctClsfcNoNm,prdctClsfcNoEngNm,prdctClsfcNoNmDscrpt,,
80101507,정보화전략계획서비스,Information Strategy Planning services,"조직, 기관의 정보기술체계를 구축하기 위하여정보시스템 또는 정보인프라 등의 정보기술을 연계하여 적용할 것인가에 대한 분석 또는 평가후 개선방안, 대책 수립, 이행 계획 수립 등으로 전략 및 해결책을 찾고 실행계획을 수립하는 서비스.",,
80101698,정보화프로젝트관리서비스(PMO),Project management Officer services,"전산 프로젝트의 효율적인 관리를 위해 업무분석, 설계, 구축, 테스트 등의 단계별로 프로젝트 관리를 수행하는 서비스.",,
80101699,정보시스템감리서비스,Information system inspection services,정보시스템의 효율성을 향상시키고 안전성을 확보하기 위하여 제3자의 관점에서 정보시스템의 구축 및 운영 등에 관한 사항을 종합적으로 점검하고 문제점을 개선하도록 관리감독하는 서비스.,,
80101706,구매대행서비스,Professional procurement services,수요자의 요구에 따라 전문적으로 구매업무를 대행하는 서비스.,,
80111598,정보기술(IT)전문가제공서비스,Information technology (IT) expert  services,"정보화사업 수행에 필요한 IT컨설팅, IT프로젝트 관리, IT품질관리, 정보보호, 시스템 구축 및 운영, 홈페이지 개발, IT기술교육 등과 관련된 분야별 전문가를 제공하는 서비스.",,
80111699,인력공급서비스,Temporary staffing services,자기관리하에 있는 인력을 타사업체에 일정 기간동안 공급해 주는 서비스로 계약자가 근로자파견사업으로 등록된 경우에 해당함.,,
80121699,법무서비스,Legal services,"법률사건에 대한 소송, 변호, 조언 및 상담과 법적문서 작성. 그리고 특허권, 저작권 및 기타 권리 등의 보호를 위한 자문서비스와 공증 및 심판중재 등의 서비스.",,
80131598,부동산임대서비스,Lease and rental of real estate services,"주거용, 비주거용, 기타 부동산을 임대하는 서비스",,
80141619,고객센터운영서비스,Customer relationship center CRC management services,"전화, 인터넷 등을 통하여 고객의 불만 또는 기타 요청사항을 접수하여 처리해 주는 서비스.",,
80141622,우편발송서비스,Letter shop services,우편물을 배달하는 서비스.,,
80141799,유통관련용역,Distribution services,"재화의 판매에 속하는 도소매 유통 관련 용역으로, 직접판매, 경매, 독점판매 등의 용역이 이에 속함.",,
80141899,통신판매서비스,Mail order sale services,"상품을 인터넷, 신문, 잡지, 라디오, 텔레비전 등에 의해 광고하여 판매하는 것과 관련된 용역으로, 고객 리스트 관리도 이에 속함.",,
80141902,회의기획및대행서비스,Meetings events,"회의, 포럼, 세미나, 워크숍 등의 기획 및 운영을 대행해 주는 서비스. 단, 국제회의는 별도로 분류함.",,
80141988,전시회기획및대행서비스,Fair organization or management services,"상품 및 서비스를 판매ㆍ홍보하거나, 기술 및 정보 등을 알리기 위해 개최하는 전시회, 무역상담회, 박람회, 전람회 등 행사와 관련 부대행사의 기획 및 운영을 대행해 주는 서비스.",,
80141989,국제행사기획및대행서비스,International event planning and agency service,"국제행사 및 국제회의(국제포럼, 국제세미나, 국제컨퍼런스 등)의 기획 및 운영을 대행해 주는 서비스.",,
80141990,기타행사기획및대행서비스,Other events management,"전시회, 견본상품박람회, 무역상담회, 박람회, 축제, 회의 및 공연 등을 제외한 기타행사를 기획 및 대행해 주는 서비스.",,
80161590,기타사업지원서비스,Other management support services,그 외 분류되지 않은 사업지원 서비스.,,
80161597,중대재해예방관리서비스,Serious accident prevention and management services,경영책임자 및 공공기관장의 중대재해(중대산업재해와 중대시민재해) 예방관리 의무에 대한 업무처리과정을 체계적으로 관리하는 서비스.,,
80161598,사업장위탁운영서비스,Administration commission services,"박물관, 전시관, 홍보관 등 고객의 사업장을 대신해서 운영·관리해 주는 서비스.",,
80161599,사무지원서비스,Management support relevant services,"사무, 비서 등과 같이 회사의 업무를 지원하는 서비스로 키보드입력, 회의계획, 시청각자료 준비 등이 포함됨.",,
80171501,시장및여론조사서비스,Polling and survey and public opinion monitoring and analysis,"설문조사 등을 통하여 시장 및 여론에 관한 자료를 체계적으로 조사, 기록, 분석하는 서비스.",,
80171602,온라인홍보및방송콘텐츠서비스,Online and social media publicity service,"기관, 정책 홍보를 위해서 홈페이지 및 인터넷 방송 등을 활용할 수 있도록 디지털 콘텐츠를 제작하는 서비스.",,
80171699,홍보및마케팅서비스,Publicity and marketing services,"각종 정책, 계획, 활동 또는 재화, 서비스 등을 공중에게 알리고 이미지를 개선해 주는 서비스. 광고도 포함함.",,
80909001,경제산업연구조사서비스,Economic research services,"경제 및 산업지원정책 수립, 경제동향 및 산업실태 파악 등의 분야에 대한 연구조사 서비스(예: 미래지식경제정책 방향 연구, 소상공인 실태 조사, 중소기업지원정책 실효성 제고 방안 등)",,
80909002,재정및세무연구조사서비스,Finance and tax research services,"재정, 예산, 기금, 국고, 정부회계, 국세, 관세 등의 분야에 대한 연구조사 서비스(예: 성인지 예산제도 운영 및 정착 방안, 문예기금 사업평가, 지방재정 분석연구 등)",,
80909003,금융보험연구조사서비스,Banking and insurance research services,"금융 및 보험 분야에 대한 연구조사 서비스(예: 중소서민 금융기관제도 선진화, 저축은행 건전성 방안, 자연재해보험 진흥을 위한 기본연구 등)",,
80909004,조달연구조사서비스,Procurement research services,"물품, 서비스 구매, 공사계약 등 공공조달 분야에 대한 연구조사 서비스.",,
80909005,지식재산및특허연구조사서비스,Intellectual property and patent research services,"특허, 실용신안, 의장 및 상표권 등의 분야에 대한 연구조사 서비스(예: 해외지식재산침해 조사방법 개발, 국내표준특허 창출기반 확대지원방안 등)",,
80909006,통계연구조사서비스,Statistics research services,"통계 분야에 대한 연구조사 서비스(예: 임업통계조사 감리사업, 일자리통계 생산, 사회서비스산업통계 생산방안연구 등)",,
80909007,법제및법무연구조사서비스,Legal research services,"법제 및 법무 분야에 대한 연구조사 서비스(예: 장애인차별금지법률의 하위법령 연구, 공공디자인에 관한 법률안 시행령 제정 연구 등)",,
80909008,보건복지연구조사서비스,Health and welfare research services,"보건, 의료, 여성, 장애인, 청소년 등 사회적 약자의 복지, 가족친화 분야에 대한 연구조사 서비스(예: 한국기능장애건강분류 개발, 사회복지지출 추계 조사, 가족친화 사회환경 조성실태, 한부모가족 실태조사)",,
80909009,식품연구조사서비스,Food research services,"식품 분야에 대한 연구조사 서비스(예: 나트륨 저감화 가이드라인, 의성마늘 양념류 제품 개발, 술 품질인증기준 개발 등)",,
80909010,농림수산연구조사서비스,"Agriculture, forestry and fisheries research services","농산, 축산, 삼림 및 해양수산에 대한 연구조사 서비스(예: 농림어업총조사 종합분석 등)",,
80909011,과학기술연구조사서비스,Scientific technology research services,"과학 및 전문기술 분야에 대한 연구조사 서비스(예: 지구자기 활동지수 및 표출시스템 개발, 강수입자부피관측 시제품 제작기술 연구 등)",,
80909012,정보통신연구조사서비스,Information and communications research services,"정보화, 정보보호, 보안 및 통신 분야에 대한 연구조사 서비스(예: 인터넷 정보보호 조사, 정보통신분야 표준 정비, 효율적 정보자원 관리 및 발전방안 연구 등)",,
80909013,기상연구조사서비스,Meteorological research services,"기상 분야에 대한 연구조사 서비스(예: 기상자료와 지리정보 중첩기술 개발, 국지예보시스템 개선, 우주기상예측모델 개발 등)",,
80909014,인력개발및교육연구조사서비스,Human resource development and educational research services,"인적자원개발 및 교육 분야에 대한 연구조사 서비스(예: 교육교재개발, 교육프로그램 운영 등)",,
80909015,외교및국제협력연구조사서비스,Diplomatic and international cooperation research services,"외교 및 국제협력 분야에 대한 연구조사 서비스(예: 동북아 안보전략평가 연구, 대외협력 증진방안 등)",,
80909016,무역및국제통상연구조사서비스,International trade research services,"무역 및 국제통상 분야에 대한 연구조사 서비스(예: 무역기술장벽 대응전략 연구, 불법무역사업의 경제적 효과 연구 등)",,
80909017,통일대북연구조사서비스,Unification and North Korea research services,"통일 및 남북협력 등 대북관계 분야에 대한 연구조사 서비스(예: 대북정책 추진전략 연구, 대북교류협력 발전방안 연구 등)",,
80909018,국방연구조사서비스,National defense research services,국방 분야에 대한 연구조사 서비스(예: 군사시설 표준분류체계 연구 등),,
80909019,정치선거연구조사서비스,Politics and election research services,"정치 및 선거 분야에 대한 연구조사 서비스(예: 국회의원선거 외부평가 용역, 선거운동방법의 실효성 분석 및 제도개선 등)",,
